614 1200 54 |[54, 4, 2]| rush
614 1250 54 |[54, 4, 2]| rush
614 1300 54 |[54, 4, 2]| rush
614 1350 54 |[54, 4, 2]| rush
614 1400 54 |[54, 4, 2]| rush
614 1450 54 |[54, 4, 2]| rush
614 1500 54 |[54, 4, 2]| rush
614 1550 54 |[54, 4, 2]| rush
614 1600 54 |[54, 4, 2]| rush
621 1600 54 |[54, 4, 2]| rush
622 1600 54 |[54, 4, 2]| rush
624 1600 54 |[54, 4, 2]| rush
624 1600 54 |[54, 4, 2]| rush
628 1600 54 |[54, 4, 2]| rush
634 1600 54 |[54, 4, 2]| rush
634 1600 54 |[54, 4, 2]| rush
643 1600 54 |[54, 4, 2]| rush
648 1600 54 |[54, 4, 2]| rush
648 1600 54 |[54, 4, 2]| rush
671 1600 54 |[54, 4, 2]| rush
671 1600 54 |[54, 4, 2]| rush
671 1600 54 |[54, 4, 2]| rush
671 1600 54 |[54, 4, 2]| rush
671 1600 54 |[54, 4, 2]| rush
671 1600 54 |[54, 4, 2]| rush
672 1600 54 |[54, 4, 2]| rush
672 1600 54 |[54, 4, 2]| rush
672 1600 54 |[54, 4, 2]| rush
699 1600 54 |[54, 4, 2]| rush
699 1600 54 |[54, 4, 2]| rush
699 1600 54 |[54, 4, 2]| rush
699 1600 54 |[54, 4, 2]| rush
699 1600 54 |[54, 4, 2]| rush
699 1600 54 |[54, 4, 2]| rush
699 1600 54 |[54, 4, 2]| rush
699 1600 54 |[54, 4, 2]| rush
699 1600 54 |[54, 4, 2]| rush
700 1600 54 |[54, 4, 2]| rush
700 1600 54 |[54, 4, 2]| rush
700 1600 54 |[54, 4, 2]| rush
700 1600 54 |[54, 4, 2]| rush
707 1650 54 |[54, 4, 2]| rush
707 1700 54 |[54, 4, 2]| rush
707 1750 54 |[54, 4, 2]| rush
707 1800 54 |[54, 4, 2]| rush
708 1850 54 |[54, 4, 2]| rush
708 1900 54 |[54, 4, 2]| rush
716 1900 54 |[54, 4, 2]| rush
716 1900 54 |[54, 4, 2]| rush
749 1900 54 |[54, 4, 2]| rush
749 1900 54 |[54, 4, 2]| rush
749 1900 54 |[54, 4, 2]| rush
750 1900 54 |[54, 4, 2]| rush
754 1900 54 |[54, 4, 2]| rush
754 1900 54 |[54, 4, 2]| rush
755 1900 54 |[54, 4, 2]| rush
771 1900 54 |[54, 4, 2]| rush
788 1900 54 |[54, 4, 2]| rush
789 1900 54 |[54, 4, 2]| rush
789 1900 54 |[54, 4, 2]| rush
789 1900 54 |[54, 4, 2]| rush
789 1900 54 |[54, 4, 2]| rush
789 1900 54 |[54, 4, 2]| rush
789 1900 54 |[54, 4, 2]| rush
789 1900 54 |[54, 4, 2]| rush
789 1900 54 |[54, 4, 2]| rush
