33 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
34 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
35 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
36 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
37 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
38 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
39 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
40 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
41 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
42 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
43 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
44 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
45 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
46 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
47 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
48 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
49 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
50 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
51 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
52 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
53 0 3 |[3, 0, 0]| | BBoongBBoong vs Guru |
54 0 4 |[4, 0, 0]| | BBoongBBoong vs Guru |
55 0 4 |[4, 0, 0]| | BBoongBBoong vs Guru |
56 0 4 |[4, 0, 0]| | BBoongBBoong vs Guru |
57 0 4 |[4, 0, 0]| | BBoongBBoong vs Guru |
58 0 4 |[4, 0, 0]| | BBoongBBoong vs Guru |
59 0 4 |[4, 0, 0]| | BBoongBBoong vs Guru |
60 0 4 |[4, 0, 0]| | BBoongBBoong vs Guru |
61 0 4 |[4, 0, 0]| | BBoongBBoong vs Guru |
62 0 4 |[4, 0, 0]| | BBoongBBoong vs Guru |
63 0 4 |[4, 0, 0]| | BBoongBBoong vs Guru |
64 0 4 |[4, 0, 0]| | BBoongBBoong vs Guru |
65 0 4 |[4, 0, 0]| | BBoongBBoong vs Guru |
66 0 4 |[4, 0, 0]| | BBoongBBoong vs Guru |
67 0 4 |[4, 0, 0]| | BBoongBBoong vs Guru |
68 0 4 |[4, 0, 0]| | BBoongBBoong vs Guru |
69 0 4 |[4, 0, 0]| | BBoongBBoong vs Guru |
70 0 4 |[4, 0, 0]| | BBoongBBoong vs Guru |
71 0 4 |[4, 0, 0]| | BBoongBBoong vs Guru |
72 0 5 |[5, 0, 0]| | BBoongBBoong vs Guru |
73 0 6 |[6, 0, 0]| | BBoongBBoong vs Guru |
74 0 6 |[6, 0, 0]| | BBoongBBoong vs Guru |
75 0 6 |[6, 0, 0]| | BBoongBBoong vs Guru |
76 0 6 |[6, 0, 0]| | BBoongBBoong vs Guru |
77 0 6 |[6, 0, 0]| | BBoongBBoong vs Guru |
78 0 6 |[6, 0, 0]| | BBoongBBoong vs Guru |
79 0 7 |[7, 0, 0]| | BBoongBBoong vs Guru |
80 0 7 |[7, 0, 0]| | BBoongBBoong vs Guru |
81 0 7 |[7, 0, 0]| | BBoongBBoong vs Guru |
82 0 7 |[7, 0, 0]| | BBoongBBoong vs Guru |
83 0 7 |[7, 0, 0]| | BBoongBBoong vs Guru |
84 0 7 |[7, 0, 0]| | BBoongBBoong vs Guru |
85 0 7 |[7, 0, 0]| | BBoongBBoong vs Guru |
86 0 7 |[7, 0, 0]| | BBoongBBoong vs Guru |
87 0 7 |[7, 0, 0]| | BBoongBBoong vs Guru |
88 0 7 |[7, 0, 0]| | BBoongBBoong vs Guru |
89 0 7 |[7, 0, 0]| | BBoongBBoong vs Guru |
90 0 7 |[7, 0, 0]| | BBoongBBoong vs Guru |
91 0 7 |[7, 0, 0]| | BBoongBBoong vs Guru |
92 0 8 |[8, 0, 0]| | BBoongBBoong vs Guru |
93 0 8 |[8, 0, 0]| | BBoongBBoong vs Guru |
94 0 8 |[8, 0, 0]| | BBoongBBoong vs Guru |
95 0 8 |[8, 0, 0]| | BBoongBBoong vs Guru |
96 0 8 |[8, 0, 0]| | BBoongBBoong vs Guru |
97 0 8 |[8, 0, 0]| | BBoongBBoong vs Guru |
98 0 8 |[8, 0, 0]| | BBoongBBoong vs Guru |
99 0 8 |[8, 0, 0]| | BBoongBBoong vs Guru |
100 0 8 |[8, 0, 0]| | BBoongBBoong vs Guru |
101 0 8 |[8, 0, 0]| | BBoongBBoong vs Guru |
102 0 8 |[8, 0, 0]| | BBoongBBoong vs Guru |
103 0 8 |[8, 0, 0]| | BBoongBBoong vs Guru |
104 0 8 |[8, 0, 0]| | BBoongBBoong vs Guru |
105 0 8 |[8, 0, 0]| | BBoongBBoong vs Guru |
106 0 8 |[8, 0, 0]| | BBoongBBoong vs Guru |
107 0 8 |[8, 0, 0]| | BBoongBBoong vs Guru |
108 0 9 |[9, 0, 0]| | BBoongBBoong vs Guru |
109 0 9 |[9, 0, 0]| | BBoongBBoong vs Guru |
110 0 9 |[9, 0, 0]| | BBoongBBoong vs Guru |
111 0 9 |[9, 0, 0]| | BBoongBBoong vs Guru |
112 0 9 |[9, 0, 0]| | BBoongBBoong vs Guru |
113 0 9 |[9, 0, 0]| | BBoongBBoong vs Guru |
114 0 9 |[9, 0, 0]| | BBoongBBoong vs Guru |
115 0 9 |[9, 0, 0]| | BBoongBBoong vs Guru |
